full_name,email,phone,member_no,national_id,branch_code,status,opening_savings,opening_shares,opening_savings_date,opening_shares_date,withdrawal_amount,withdrawal_date,notes,loan_id,loan_amount,interest_rate,term_months,loan_status,loan_disbursed_at,repayment_amount,repayment_date
Amina Msuya,amina.demo1@saccos.local,+255730000101,CLN25-00001,19810204100101011,,active,450000,120000,2025-04-03T10:15:00Z,2025-05-05T11:15:00Z,25000,2026-01-06T12:15:00Z,Clean demo savings member,,,,,,,,
Baraka Mtui,baraka.demo2@saccos.local,+255730000202,CLN25-00002,19820307100102022,,active,520000,160000,2025-05-05T11:15:00Z,2025-06-07T12:15:00Z,30000,2026-02-11T13:15:00Z,Clean demo member with moderate withdrawal activity,,,,,,,,
Chausiku Ngowi,chausiku.demo3@saccos.local,+255730000303,CLN25-00003,19830410100103033,,active,610000,210000,2025-06-07T09:15:00Z,2025-07-10T11:15:00Z,35000,2026-01-16T11:15:00Z,Clean demo borrowing member,LN-CD-00003,1200000,12,9,active,2025-09-23T09:15:00Z,120000,2026-02-11T10:15:00Z
Daudi Mkenda,daudi.demo4@saccos.local,+255730000404,CLN25-00004,19840513100104044,,active,700000,260000,2025-07-09T10:15:00Z,2025-08-13T10:15:00Z,42000,2026-02-21T12:15:00Z,Clean demo member with loan and repayment,LN-CD-00004,1800000,10,12,active,2025-10-07T09:15:00Z,180000,2026-03-14T10:15:00Z
Esther Komba,esther.demo5@saccos.local,+255730000505,CLN25-00005,19850616100105055,,active,830000,340000,2025-08-11T11:15:00Z,2025-09-16T12:15:00Z,0,,Share-heavy member for contributions and dividends,,,,,,,,
Faraji Moshi,faraji.demo6@saccos.local,+255730000606,CLN25-00006,19860719100106066,,active,910000,380000,2025-09-13T09:15:00Z,2025-10-19T10:15:00Z,50000,2026-01-07T11:15:00Z,Clean demo member with active withdrawals,,,,,,,,
Grace Mkumbo,grace.demo7@saccos.local,+255730000707,CLN25-00007,19870822100107077,,active,980000,420000,2025-10-15T10:15:00Z,2025-11-22T11:15:00Z,0,,Savings and shares growth member,,,,,,,,
Hassan Mtei,hassan.demo8@saccos.local,+255730000808,CLN25-00008,19880925100108088,,active,1050000,450000,2025-11-17T11:15:00Z,2025-12-24T10:15:00Z,65000,2026-02-17T12:15:00Z,Clean demo member with small working-capital withdrawal,,,,,,,,
Irene Mollel,irene.demo9@saccos.local,+255730000909,CLN25-00009,19891028100109099,,active,1120000,500000,2025-12-19T09:15:00Z,2026-01-26T11:15:00Z,70000,2026-03-06T11:15:00Z,Clean demo borrowing member,LN-CD-00009,950000,12,8,active,2025-11-12T09:15:00Z,95000,2026-03-09T10:15:00Z
Juma Nkwabi,juma.demo10@saccos.local,+255730001010,CLN25-00010,19901103100110110,,active,1180000,540000,2025-04-21T10:15:00Z,2025-05-28T10:15:00Z,0,,Capital build-up member for dividend tests,,,,,,,,
Kelvin Kasambala,kelvin.demo11@saccos.local,+255730001111,CLN25-00011,19911206100111121,,active,1250000,580000,2025-05-23T11:15:00Z,2025-06-03T11:15:00Z,82000,2026-01-14T13:15:00Z,Clean demo member with regular savings usage,,,,,,,,
Lilian Manyama,lilian.demo12@saccos.local,+255730001212,CLN25-00012,19920109100112132,,active,1320000,620000,2025-06-25T09:15:00Z,2025-07-05T10:15:00Z,86000,2026-02-19T12:15:00Z,Clean demo member with medium loan exposure,LN-CD-00012,1600000,10,10,active,2025-08-18T09:15:00Z,150000,2026-02-20T10:15:00Z
Mariam Mponzi,mariam.demo13@saccos.local,+255730001313,CLN25-00013,19930212100113143,,active,1380000,660000,2025-07-27T10:15:00Z,2025-08-07T11:15:00Z,0,,Share contributor with no debt exposure,,,,,,,,
