full_name,email,phone,member_no,national_id,branch_code,status,opening_savings,opening_shares,opening_savings_date,opening_shares_date,withdrawal_amount,withdrawal_date,notes,loan_id,loan_amount,interest_rate,term_months,loan_status,loan_disbursed_at,repayment_amount,repayment_date
Amina Msuya,amina.msuya1@saccos.local,+255712000613,DCP25-0001,19800204100007011,,active,792000,310000,2025-05-03T10:15:00Z,2025-06-05T11:15:00Z,32000,2026-02-04T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Baraka Mtui,baraka.mtui2@saccos.local,+255712001226,DCP25-0002,19810307100014022,,active,884000,370000,2025-06-05T11:15:00Z,2025-07-09T12:15:00Z,39000,2026-03-07T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Chausiku Ngowi,chausiku.ngowi3@saccos.local,+255712001839,DCP25-0003,19820410100021033,,active,976000,430000,2025-07-07T09:15:00Z,2025-08-13T10:15:00Z,46000,2026-01-10T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Daudi Mkenda,daudi.mkenda4@saccos.local,+255712002452,DCP25-0004,19830513100028044,,active,1068000,490000,2025-08-09T10:15:00Z,2025-09-17T11:15:00Z,53000,2026-02-13T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Esther Komba,esther.komba5@saccos.local,+255712003065,DCP25-0005,19840616100035055,,active,1160000,565000,2025-09-11T11:15:00Z,2025-10-21T12:15:00Z,60000,2026-03-16T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0005,800000,10,9,active,2025-09-04T09:15:00Z,90000,2026-02-12T10:15:00Z
Faraji Moshi,faraji.moshi6@saccos.local,+255712003678,DCP25-0006,19850719100042066,,active,1252000,625000,2025-10-13T09:15:00Z,2025-11-25T10:15:00Z,0,,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Grace Mkumbo,grace.mkumbo7@saccos.local,+255712004291,DCP25-0007,19860822100049077,,active,1344000,685000,2025-11-15T10:15:00Z,2025-12-03T11:15:00Z,74000,2026-02-22T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Hassan Mtei,hassan.mtei8@saccos.local,+255712004904,DCP25-0008,19870925100056088,,active,1436000,745000,2025-12-17T11:15:00Z,2026-01-07T12:15:00Z,81000,2026-03-01T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Irene Mollel,irene.mollel9@saccos.local,+255712005517,DCP25-0009,19881028100063099,,active,1528000,805000,2026-01-19T09:15:00Z,2025-04-11T10:15:00Z,88000,2026-01-04T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Juma Nkwabi,juma.nkwabi10@saccos.local,+255712006130,DCP25-0010,19891103100070110,,active,1620000,280000,2025-04-21T10:15:00Z,2025-05-15T11:15:00Z,95000,2026-02-07T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0010,1000000,10,10,active,2025-10-06T09:15:00Z,110000,2026-01-22T10:15:00Z
Kelvin Kasambala,kelvin.kasambala11@saccos.local,+255712006743,DCP25-0011,19901206100077121,,active,1712000,340000,2025-05-23T11:15:00Z,2025-06-19T12:15:00Z,102000,2026-03-10T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Lilian Manyama,lilian.manyama12@saccos.local,+255712007356,DCP25-0012,19910109100084132,,active,1804000,400000,2025-06-25T09:15:00Z,2025-07-23T10:15:00Z,0,,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Mariam Mponzi,mariam.mponzi13@saccos.local,+255712007969,DCP25-0013,19920212100091143,,active,1896000,460000,2025-07-01T10:15:00Z,2025-08-01T11:15:00Z,116000,2026-02-16T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Neema Ndosi,neema.ndosi14@saccos.local,+255712008582,DCP25-0014,19930315100098154,,active,1988000,520000,2025-08-03T11:15:00Z,2025-09-05T12:15:00Z,123000,2026-03-19T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Omary Mfaume,omary.mfaume15@saccos.local,+255712009195,DCP25-0015,19940418100105165,,active,2080000,595000,2025-09-05T09:15:00Z,2025-10-09T10:15:00Z,130000,2026-01-22T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,LN-DC-0015,1200000,10,11,active,2025-11-08T09:15:00Z,130000,2026-02-09T10:15:00Z
Paulina Mlimbila,paulina.mlimbila16@saccos.local,+255712009808,DCP25-0016,19950521100112176,,active,2172000,655000,2025-10-07T10:15:00Z,2025-11-13T11:15:00Z,137000,2026-02-01T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
Rehema Kimaro,rehema.kimaro17@saccos.local,+255712010421,DCP25-0017,19960624100119187,,active,2264000,715000,2025-11-09T11:15:00Z,2025-12-17T12:15:00Z,144000,2026-03-04T12:15:00Z,Dividend and contribution-focused member with strong share capital and savings accumulation,,,,,,,,
