full_name,email,phone,member_no,national_id,branch_code,status,opening_savings,opening_shares,opening_savings_date,opening_shares_date,withdrawal_amount,withdrawal_date,notes,loan_id,loan_amount,interest_rate,term_months,loan_status,loan_disbursed_at,repayment_amount,repayment_date
Amina Msuya,amina.msuya1@saccos.local,+255712000613,LNP25-0001,19800204100007011,,active,533000,125000,2025-05-03T10:15:00Z,2025-06-04T11:15:00Z,44500,2026-02-06T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0001,1600000,12,10,active,2025-07-09T09:15:00Z,125000,2026-02-06T10:15:00Z
Baraka Mtui,baraka.mtui2@saccos.local,+255712001226,LNP25-0002,19810307100014022,,active,616000,160000,2025-06-05T11:15:00Z,2025-07-07T12:15:00Z,54000,2026-03-11T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0002,2000000,12,11,active,2025-08-16T09:15:00Z,160000,2026-03-10T10:15:00Z
Chausiku Ngowi,chausiku.ngowi3@saccos.local,+255712001839,LNP25-0003,19820410100021033,,active,699000,195000,2025-07-07T09:15:00Z,2025-08-10T10:15:00Z,63500,2026-01-16T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0003,2400000,10,12,active,2025-09-23T09:15:00Z,195000,2026-01-14T10:15:00Z
Daudi Mkenda,daudi.mkenda4@saccos.local,+255712002452,LNP25-0004,19830513100028044,,active,782000,230000,2025-08-09T10:15:00Z,2025-09-13T11:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0004,2800000,12,13,active,2025-10-07T09:15:00Z,230000,2026-02-18T10:15:00Z
Esther Komba,esther.komba5@saccos.local,+255712003065,LNP25-0005,19840616100035055,,active,865000,265000,2025-09-11T11:15:00Z,2025-10-16T12:15:00Z,82500,2026-03-02T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
Faraji Moshi,faraji.moshi6@saccos.local,+255712003678,LNP25-0006,19850719100042066,,active,948000,300000,2025-10-13T09:15:00Z,2025-11-19T10:15:00Z,92000,2026-01-07T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0006,3600000,10,15,active,2025-06-21T09:15:00Z,90000,2026-01-03T10:15:00Z
Grace Mkumbo,grace.mkumbo7@saccos.local,+255712004291,LNP25-0007,19860822100049077,,active,1031000,335000,2025-11-15T10:15:00Z,2025-12-22T11:15:00Z,101500,2026-02-12T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0007,1200000,12,16,active,2025-07-05T09:15:00Z,125000,2026-02-07T10:15:00Z
Hassan Mtei,hassan.mtei8@saccos.local,+255712004904,LNP25-0008,19870925100056088,,active,1114000,90000,2025-12-17T11:15:00Z,2025-05-25T12:15:00Z,0,,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0008,1600000,12,17,active,2025-08-12T09:15:00Z,175000,2026-03-11T10:15:00Z
Irene Mollel,irene.mollel9@saccos.local,+255712005517,LNP25-0009,19881028100063099,,active,1197000,125000,2025-04-19T09:15:00Z,2025-06-02T10:15:00Z,120500,2026-01-22T12:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",LN-HL-0009,2000000,10,18,active,2025-09-19T09:15:00Z,210000,2026-01-15T10:15:00Z
Juma Nkwabi,juma.nkwabi10@saccos.local,+255712006130,LNP25-0010,19891103100070110,,active,1280000,160000,2025-05-21T10:15:00Z,2025-07-05T11:15:00Z,130000,2026-02-03T11:15:00Z,"Heavy loan portfolio member with active borrowing, savings, shares, and repayment activity",,,,,,,,
